S.no,WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
9089,0.05,1,17,45,0.42,102,,,
9106,0.05,1,17,39,0.61,102,,,
9107,0.05,1,17,45,0.61,102,,,
9117,0.05,1,17,2,0.24,102,,,
9118,0.05,1,17,7,0.24,102,,,
9119,0.05,1,17,12,0.24,102,,,
9120,0.05,1,17,18,0.24,102,,,
9121,0.05,1,17,23,0.24,102,,,
9122,0.05,1,17,28,0.24,102,,,
9123,0.05,1,17,34,0.24,102,,,
9124,0.05,1,17,39,0.24,102,,,
9125,0.05,1,17,45,0.24,102,,,
9152,0.05,1,17,45,0.73,102,,,
9157,0.05,1,17,23,0.56,102,,,
9158,0.05,1,17,28,0.56,102,,,
9159,0.05,1,17,34,0.56,102,,,
9160,0.05,1,17,39,0.56,102,,,
9161,0.05,1,17,45,0.56,102,,,
9167,0.05,1,17,28,0.59,102,,,
9168,0.05,1,17,34,0.59,102,,,
9169,0.05,1,17,39,0.59,102,,,
9170,0.05,1,17,45,0.59,102,,,
9171,0.05,1,17,2,0.26,102,,,
9172,0.05,1,17,7,0.26,102,,,
9173,0.05,1,17,12,0.26,102,,,
9174,0.05,1,17,18,0.26,102,,,
9175,0.05,1,17,23,0.26,102,,,
9176,0.05,1,17,28,0.26,102,,,
9177,0.05,1,17,34,0.26,102,,,
9178,0.05,1,17,39,0.26,102,,,
9179,0.05,1,17,45,0.26,102,,,
9182,0.05,2,17,12,0.37,102,,,
9183,0.05,2,17,18,0.37,102,,,
9184,0.05,2,17,23,0.37,102,,,
9185,0.05,2,17,28,0.37,102,,,
9186,0.05,2,17,34,0.37,102,,,
9187,0.05,2,17,39,0.37,102,,,
9188,0.05,2,17,45,0.37,102,,,
9202,0.05,2,17,23,0.44,102,,,
9203,0.05,2,17,28,0.44,102,,,
9204,0.05,2,17,34,0.44,102,,,
9205,0.05,2,17,39,0.44,102,,,
9206,0.05,2,17,45,0.44,102,,,
9207,0.05,2,17,2,0.2,102,,,
9208,0.05,2,17,7,0.2,102,,,
9209,0.05,2,17,12,0.2,102,,,
9210,0.05,2,17,18,0.2,102,,,
9211,0.05,2,17,23,0.2,102,,,
9212,0.05,2,17,28,0.2,102,,,
9213,0.05,2,17,34,0.2,102,,,
9214,0.05,2,17,39,0.2,102,,,
9215,0.05,2,17,45,0.2,102,,,
9242,0.05,2,17,45,0.65,102,,,
9243,0.05,2,17,2,0.26,102,,,
9244,0.05,2,17,7,0.26,102,,,
9245,0.05,2,17,12,0.26,102,,,
9246,0.05,2,17,18,0.26,102,,,
9247,0.05,2,17,23,0.26,102,,,
9248,0.05,2,17,28,0.26,102,,,
9249,0.05,2,17,34,0.26,102,,,
9250,0.05,2,17,39,0.26,102,,,
9251,0.05,2,17,45,0.26,102,,,
9267,0.05,2,17,34,0.42,102,,,
9268,0.05,2,17,39,0.42,102,,,
9269,0.05,2,17,45,0.42,102,,,
9297,0.05,2,17,2,0.24,102,,,
9298,0.05,2,17,7,0.24,102,,,
9299,0.05,2,17,12,0.24,102,,,
9300,0.05,2,17,18,0.24,102,,,
9301,0.05,2,17,23,0.24,102,,,
9302,0.05,2,17,28,0.24,102,,,
9303,0.05,2,17,34,0.24,102,,,
9304,0.05,2,17,39,0.24,102,,,
9305,0.05,2,17,45,0.24,102,,,
9339,0.05,2,17,34,0.56,102,,,
9340,0.05,2,17,39,0.56,102,,,
9341,0.05,2,17,45,0.56,102,,,
9349,0.05,2,17,39,0.59,102,,,
9350,0.05,2,17,45,0.59,102,,,
9351,0.05,2,17,2,0.26,102,,,
9352,0.05,2,17,7,0.26,102,,,
9353,0.05,2,17,12,0.26,102,,,
9354,0.05,2,17,18,0.26,102,,,
9355,0.05,2,17,23,0.26,102,,,
9356,0.05,2,17,28,0.26,102,,,
9357,0.05,2,17,34,0.26,102,,,
9358,0.05,2,17,39,0.26,102,,,
9359,0.05,2,17,45,0.26,102,,,
9368,0.05,3,17,45,0.37,102,,,
9390,0.05,3,17,18,0.2,102,,,
9391,0.05,3,17,23,0.2,102,,,
9392,0.05,3,17,28,0.2,102,,,
9393,0.05,3,17,34,0.2,102,,,
9394,0.05,3,17,39,0.2,102,,,
9395,0.05,3,17,45,0.2,102,,,
9430,0.05,3,17,39,0.26,102,,,
9431,0.05,3,17,45,0.26,102,,,
9483,0.05,3,17,34,0.24,102,,,
9484,0.05,3,17,39,0.24,102,,,
9485,0.05,3,17,45,0.24,102,,,
9537,0.05,3,17,34,0.26,102,,,
9538,0.05,3,17,39,0.26,102,,,
9539,0.05,3,17,45,0.26,102,,,
9933,0.14,1,17,34,0.2,102,,,
9934,0.14,1,17,39,0.2,102,,,
9935,0.14,1,17,45,0.2,102,,,
10025,0.14,1,17,45,0.24,102,,,
10079,0.14,1,17,45,0.26,102,,,
10115,0.14,2,17,45,0.2,102,,,
18000,0.05,1,34,2,0.37,102,,,
18001,0.05,1,34,7,0.37,102,,,
18002,0.05,1,34,12,0.37,102,,,
18003,0.05,1,34,18,0.37,102,,,
18004,0.05,1,34,23,0.37,102,,,
18005,0.05,1,34,28,0.37,102,,,
18006,0.05,1,34,34,0.37,102,,,
18007,0.05,1,34,39,0.37,102,,,
18008,0.05,1,34,45,0.37,102,,,
18017,0.05,1,34,45,0.66,102,,,
18019,0.05,1,34,7,0.44,102,,,
18020,0.05,1,34,12,0.44,102,,,
18021,0.05,1,34,18,0.44,102,,,
